('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      191    0.001    0.000    0.086    0.000 sre_parse.py:944(parse)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
     2813    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      257    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    190/4    0.001    0.000    0.276    0.069 <frozen importlib._bootstrap>:664(_load_unlocked)
      190    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      943    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       17    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
      305    0.001    0.000    0.855    0.003 ssl.py:1292(recv_into)
     6623    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       46    0.001    0.000    0.001    0.000 {method 'issuperset' of 'frozenset' objects}
     1005    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
    213/4    0.001    0.000    0.277    0.069 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      270    0.001    0.000    0.002    0.000 sre_compile.py:435(_mk_bitmap)
     2704    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      305    0.001    0.000    0.856    0.003 socket.py:691(readinto)
       40    0.001    0.000    0.106    0.003 models.py:816(generate)
     4800    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
     2326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1001    0.001    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
     2229    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
       18    0.001    0.000    0.620    0.034 __init__.py:1(<module>)
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
        9    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      135    0.000    0.000    0.003    0.000 typing.py:1016(__init__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
     3818    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2065    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      164    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      608    0.000    0.000    0.004    0.000 enum.py:359(__call__)
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      191    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     2961    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      328    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      164    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      164    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
  213/177    0.000    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
     1130    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
     1568    0.000    0.000    0.001    0.000 filter.py:292(matches_string)
    164/4    0.000    0.000    0.276    0.069 <frozen importlib._bootstrap_external>:877(exec_module)
      132    0.000    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2877    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      191    0.000    0.000    0.048    0.000 sre_compile.py:622(_code)
    165/1    0.000    0.000    1.442    1.442 {built-in method builtins.exec}
      305    0.000    0.000    0.854    0.003 ssl.py:1150(read)
      598    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
     1031    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
